What was Sivers's fundamental mistake when deciding to rewrite CD Baby in Rails?|He thought Rails was intrinsically better than PHP, but the language difference mattered far less than the business cost of a full rewrite.|He spent 2 years on a Rails rewrite that got less than halfway done, then rewrote it himself in PHP in 2 months.
What cost did Sivers avoid by rewriting in PHP instead of Rails?|The "One Big Day" cost — retraining 85 employees, converting all cron scripts and internal tools simultaneously, and fielding furious customer calls about a completely new system.|He could launch in stages, slowly gutting ugly PHP and replacing it, with no big re-training.
What was the first question Sivers asked when abandoning the Rails rewrite?|"Is there anything Rails can do, that PHP can't do?" — and the answer was no.|This question cut through the emotional attachment to the newer language.
What accounted for Sivers's perception that Ruby/Rails was superior to PHP?|He was comparing his old ugly PHP code (written years earlier) against his new beautiful Rails code — but he was a much better programmer now.|"It's not the language (entirely). It's you. You're better now."
How did Sivers's Rails experience still improve his PHP rewrite?|He brought back MVC separation, Active Record models, autoloading, RESTful controllers, and a templating system — all applied in PHP.|The PHP rewrite was 12,000 lines vs the original 90,000 — "the most beautiful PHP I've ever written."
Why did Sivers prefer a custom PHP system over Rails's full framework?|He uses maybe 10% of Rails; a custom system contains only what is absolutely necessary, making him "extremely happy and comfortable."|Every line in his custom system exists because he needed it.
How did the Rails rewrite's performance compare to the PHP rewrite?|The PHP rewrite ran on a single 2U server serving CD Baby's traffic with hardly any load — no framework overhead.|Small and fast wins over big and featureful when you only need a fraction of the features.
Why did Sivers fight against Rails's ActiveRecord migrations?|He loves SQL, thinks in tables and queries, and migrations hid SQL from him — the abstraction was friction, not relief.|"I dream in queries. I think in tables."
What is Sivers's "girlfriend" analogy for programming languages?|The new language feels better not because it is objectively better, but because you are a better programmer now — and you're comparing your old bad code to your new good code.|"Give yourself some credit."
What was the practical business reason Sivers could not do a One Big Day Rails cutover?|The entire company's intranet, storefront, member login, and dozens of cron scripts were in PHP — all would have to change simultaneously, impossible without massive disruption.|85 employees would need retraining; customers would be furious.
How does Sivers contrast adapting to a framework vs building your own?|With Rails he had to hack plugins and mods to fit his existing 95-table multi-lingual database; with PHP he told it exactly what he wanted, the way he wanted it.|"I don't need to adapt my ways to PHP. I tell PHP exactly what I want to do."
Under what condition would Sivers use Rails again?|When starting a brand new project from scratch, with Rails in mind from the beginning — not retrofitting an existing system.|The mistake was not Rails itself; it was using Rails to rewrite an existing PHP system with incompatible assumptions.
