What is Sivers's primary reason for using plain text files for all his writing?|They are his extended memory and most precious asset — the format must outlive him, not the companies that make it.|He writes thoughts, plans, diaries, correspondence, code, articles, and entire books in plain text.
Why is plain text more "portable" than proprietary formats?|Every device that ever existed or will exist can read and edit plain text — it is a universal lowest common denominator.|He has carried his text files from Mac to Windows to Linux to BSD across PCs, laptops, tablets, phones, and thumb drives since 1990.
What risk does storing writing in a company's proprietary format carry?|The company may go out of business, leaving your work trapped in an unusable format with no way to extract it.|"You will outlive these companies. Your writing should outlive you."
How does plain text make you "un-commercial"?|It removes you from the world of subscriptions, hype, and vendor lock-in — plenty of free software can read and edit it.|Every few years another company asks you to pay monthly to keep your documents in their care.
Why does Sivers value that plain text works offline?|Because intentional offline time is a super productivity boost, and you cannot depend on internet access in all places and times.|You need to be able to write and access all your writing even when unreachable.
What does Sivers mean by "no dependencies" in the context of writing tools?|If you rely on Word, Evernote, or Notion, you cannot work without them — plain text and a basic text editor frees you from needing any specific tool.|"The less you depend on, the better. Peace and focus come when you stop looking for more."
What formats can plain text directly be converted into?|HTML, Markdown, JSON, LaTeX — all of these are themselves plain text with different conventions.|He has written four books and four hundred blog posts this way.
How does Sivers implement personal metadata conventions in plain text?|He puts date and tags on the first two lines (e.g., `date: 2022-02-28` / `tags: where-to-live, kids, dog`) and uses scripting to extract them.|Anyone who has programmed for more than a week can parse and transform these conventions.
How does Sivers organize plain text files that need hierarchy?|He uses directories (folders) and can co-locate related images and audio alongside the text files.|Shows an example tree: Documents/Diary/2022/2022-02-28.txt, Documents/Thoughts/WhereToLive/, etc.
What does Sivers say about visual mind-mapping tools compared to plain text?|They are often a distraction — focusing on tools instead of your thinking — and plain text formatting (tab, shift, vertical line breaks) is enough for most needs.|If you need graphics, keep them in SVG or scanned JPG alongside your text, but keep your text as plain text.
