What does an LLM output when predicting the next token in a sequence?|A probability distribution over every token in its vocabulary.|This is why it's called a "language model" — it models the distribution of language.
How does an LLM convert the probability distribution into the next output token?|It samples from the distribution rather than always picking the highest-probability token.|Greedy decoding = always pick max. Sampling = roll the dice.
Why can the same prompt produce different outputs from an LLM?|Because the LLM samples from the probability distribution over next tokens, introducing randomness into the selection.|Temperature controls this randomness. Higher temp = more uniform distribution.
What does "causal" mean when describing next-word prediction training?|The prediction at position N depends only on positions 1 through N-1 — it cannot use future context.|This is why it's also called "autoregressive" — auto (self) + regressive (looking backward).
Why does next-word prediction's causal structure make it better for generation than fill-in-the-middle?|Generation must happen left-to-right, one token at a time. Causal training mirrors this. Fill-in-the-middle sees both sides so it cannot start from scratch.|BERT uses masked prediction and excels at understanding tasks but cannot generate coherent text.
Why does next-word prediction give more training signal from the same data?|Every token becomes a training example (given tokens 1..N, predict N+1). Masked prediction only trains on the ~15% of positions that are masked.|For a 100-token sentence: next-word gives 99 training pairs. Masked gives ~15.
What specific mechanism is the transformer architecture built around?|Self-attention — each token computes relevance scores against every other token in the sequence.|The paper is titled "Attention is All You Need".
How does a transformer process a sequence differently from an RNN?|RNNs step through tokens one at a time. Transformers process the entire sequence in one parallel pass.|This is why transformers can handle much longer contexts than RNNs.
What problem did the transformer's parallelism solve?|It made training on massive datasets feasible — GPUs could process all tokens simultaneously instead of stepping one by one.|GPT-3 trained on 300B tokens. That scale was impossible with RNNs.
What architectural family did transformers replace for language modeling?|Recurrent neural networks (RNNs), which processed tokens sequentially and struggled with long-range dependencies due to vanishing gradients.
Where does the label for position N come from in language model pretraining?|The label is simply the token at position N+1 in the training text.|"the cat sat on the" → model predicts "mat" which is already in the text.
Why is language model pretraining called "self-supervised"?|The text itself generates the supervision signal because each token serves as the label for the preceding tokens.|Contrast with supervised learning where humans must annotate data.
What is the concrete relationship between input and label in autoregressive LM pretraining?|The input is tokens 1 through N and the label is token N+1 from the same sequence.|No separate labeled dataset is created; the sentence contains both input and target.
How does the source of labels differ between supervised and self-supervised learning?|In supervised learning labels come from external human annotation; in self-supervised learning labels are derived from the data's own structure.|Supervised: human labels "spam/not spam". Self-supervised: input sequence itself provides the target.
What does "self" in "self-supervised learning" actually refer to?|The data supervising itself using patterns in its own structure — not the model training itself.|Common trap: "self" means the model self-corrects. Reality: the data generates its own labels.
Why is next-word prediction classified as self-supervised?|Because the corpus itself supplies the targets — the next word is the label, no human annotation needed.|"The cat sat on the ___" → model predicts "mat" from context in the same unmodified text.
How does the output space of classification fine-tuning differ from instruction fine-tuning?|Classification collapses to a fixed set of category labels; instruction preserves full natural language generation.|Example: classification → "positive" from {positive, negative}, instruction → "three bullet points: ..."
What constrains the output vocabulary of a classification fine-tuned model?|Only the category labels seen during fine-tuning are possible outputs; the model cannot produce labels outside those classes.|If trained on {positive, negative, neutral}, it will never output "mixed".
What capability does instruction fine-tuning add to a base language model?|It enables the model to follow natural language instructions and produce natural language responses rather than merely completing text.|This is how ChatGPT was made from GPT-3 — instruction fine-tuning on instruction-response pairs.
GPT-2 and GPT-3 are both from OpenAI — why is GPT-2 not a "foundation model" for GPT-3?|They were separately pretrained from scratch at different scales, not fine-tuned from each other.|Foundation model paradigm: one base model fine-tuned for many tasks.
What is the actual relationship between GPT-2 and GPT-3?|Independent pretraining runs — GPT-3 was not built by fine-tuning GPT-2; each was pretrained from scratch at larger scale.|Even though GPT-3 came after GPT-2, it did not use GPT-2's weights as a starting point.
What is ChatGPT under the hood?|ChatGPT (2022) is GPT-3 fine-tuned on instruction-following data, not a separately pretrained model.|InstructGPT was the direct predecessor. GPT-3.5-turbo is a different fine-tuned variant.
What makes BERT a foundation model?|It was pretrained once then fine-tuned for many separate downstream tasks without retraining the base each time.|This "pretrain then fine-tune" paradigm defines foundation models — same base weights reused across tasks.
What was the estimated cost of GPT-3 pretraining?|~$4.6 million in cloud compute.|That scale explains why only large labs train from scratch.
How many tokens was GPT-3 trained on?|300 billion tokens.|About 10x the entire English Wikipedia per day of training.
What two numbers did the user mix up about GPT-3?|They confused the data volume (300B tokens) with the dollar cost (~$4.6M).|They said "30 billion worth of data" — both the magnitude and concept were wrong.
How does the encoder process a source sentence in transformer encoder-decoder models?|Reads the entire input sequence in parallel, building a context-aware representation where each token incorporates information from all other tokens.|e.g., in "The bank can fall", the encoder sees full context to encode "bank" as financial institution.
Why is an encoder needed for machine translation?|To disambiguate the source sentence by processing it all at once, producing a context-aware representation the decoder references.|Without full-context encoding, ambiguous words like "bank" would lack the disambiguation needed for accurate translation.
How does the decoder generate output tokens in an encoder-decoder architecture?|One token at a time, left to right, attending to both the encoder's output and its own previously generated tokens.|Generation is autoregressive — each step depends on the previous, making decoding inherently sequential.
What are the two attention sources the decoder uses at each generation step?|The encoder's output (cross-attention) for source context and its own previously generated tokens (self-attention) for output fluency.
Why does translation require both an encoder and a decoder?|The encoder handles full-source understanding and disambiguation while the decoder handles target-language text generation — neither alone can do both jobs.|A decoder-only model can translate with prompting but lacks a dedicated module for pre-encoding source context.
What architectural component does BERT use from the original transformer?|BERT uses only the encoder half, which reads the entire input bidirectionally.|GPT uses the decoder half — unidirectional, left-to-right only.
How were BERT and GPT trained differently?|BERT uses masked language modeling (predict randomly masked tokens using full context). GPT uses next-token prediction (predict next token using only left context).|BERT: "The [MASK] sat on the mat" → "cat". GPT: "The cat sat" → "on".
Given a sentiment analysis task, which model would you choose and why?|BERT, because its bidirectional encoder architecture is optimized for understanding and classification tasks rather than generation.|GPT's unidirectional decoder excels at autoregressive generation, not classification.
In self-attention, what question does each token ask about every other token?|Which other tokens in this sequence are most relevant to interpreting this token?|
What does self-attention determine about the word "it" in "The cat sat on the mat because it was tired"?|It lets "it" attend strongly to "cat" and weakly to "mat" to resolve coreference.|
What three vectors is each token transformed into for self-attention?|Query (Q), Key (K), and Value (V).|
How are attention scores computed between two tokens?|By taking the dot product of one token's Query vector with the other token's Key vector.|
What forms the final output for a token after attention scores are computed?|A weighted sum of all tokens' Value vectors, weighted by their normalized attention scores.|
Why does self-attention handle long-range dependencies better than RNNs?|Information flows directly between any two positions without going through the chain of words between them.|
What does "autoregressive" mean in the context of language models?|Each output token is fed back in as input to generate the next token.|GPT generates "the" → feeds it back → generates "cat" → feeds "the cat" back → generates "sat".
Why is autoregressive generation slow?|Tokens must be generated one at a time because each step's output becomes input for the next — no parallelization possible at inference.|
Why can't an autoregressive model generate all tokens in parallel at inference?|Each token depends causally on all previous tokens, so later tokens cannot exist before earlier ones.
How many examples does the model receive in zero-shot vs few-shot prompting?|Zero-shot gets no examples (task description only). Few-shot gets 2–5 examples demonstrating the pattern before the new case.|GPT-3 notably improved zero-shot capability over GPT-2.
Why is zero-shot considered harder than few-shot?|The model must infer a completely novel task from a plain-language instruction with no examples to anchor its behaviour.|
Why does few-shot usually outperform zero-shot in practice?|The examples in the prompt clarify the expected output format and pattern, reducing ambiguity for the model.
What atomic unit does an LLM token represent after tokenization?|A subword unit — a whole word, syllable, punctuation mark, or word fragment.|Common words like "cat" are one token while "unbelievable" splits into "un", "believ", "able".
How does an LLM handle common vs uncommon words during tokenization?|Common words stay as one token; uncommon words get split into subword pieces from the fixed vocabulary.|Rough rule: 1 token ≈ 0.75 English words.
What is the approximate token-to-word ratio for English text in LLMs?|About 1 token per 0.75 English words (or ~1.3 tokens per word).|Spaces and punctuation also count as tokens.
What practical limitation does an LLM's fixed vocabulary impose?|Words not in the vocabulary get split into known subword pieces — no out-of-vocabulary tokens exist.|GPT-4 has a fixed vocabulary of 50,257 tokens.
What was the total number of tokens GPT-3 was trained on?|~300 billion tokens.|CommonCrawl 410B (60%), WebText2 19B (22%), Books1 12B (8%), Books2 55B (8%), Wikipedia 3B (3%).
How many tokens of Wikipedia were in GPT-3's training corpus?|3 billion tokens — not 3 million words as commonly misremembered.
What percentage of GPT-3's training data came from CommonCrawl?|60% (410B tokens) — the largest source despite being the lowest quality per-token.
Why is Wikipedia's 3% share notable in GPT-3's data mix?|It shows how little high-quality curated text is needed relative to raw web data.|Wikipedia was the smallest source by volume but highest quality.
What two book corpora were in GPT-3's training data?|Books1 (12B tokens) and Books2 (55B tokens), each at 8% of the total mix.
What did the Chinchilla scaling laws conclude about data and parameters?|For optimal performance, models should scale training data proportionally alongside parameters.
Why did GPT-3's capabilities surprisingly exceed GPT-2's?|GPT-3 trained on ~300B tokens vs GPT-2's ~1B — massive scale unlocked emergent capabilities.
How does the benefit of additional training tokens change as total count grows?|Past a threshold, each additional token provides diminishing returns rather than linear improvement.
What is an emergent behavior in LLMs?|A capability that wasn't explicitly trained for and doesn't appear in smaller models but suddenly appears at sufficient scale.|GPT can translate and do arithmetic despite training only on next-word prediction.
How did GPT-3's translation ability surprise researchers?|It showed that capabilities thought to require specialized training could emerge spontaneously from next-word prediction alone at sufficient scale.
What pattern of capability onset with model scaling surprised researchers?|Capabilities switched on suddenly past a threshold rather than improving gradually — no clear mechanism explained the switch.
How many transformer layers does GPT-3 have?|96 transformer layers.
How many parameters does GPT-3 contain?|175 billion parameters.
Approximately how much memory do GPT-3's weights consume in fp32?|Roughly 350 GB.
What was the estimated compute cost to pretrain GPT-3?|Between $4-12 million (estimates vary).
What was GPT-1's key contribution?|First demonstrated that pretraining + fine-tuning worked effectively (117M params, 1B tokens).|Released 2018.
How did GPT-2 build on GPT-1?|Showed that scaling parameters to 1.5B improved performance; OpenAI withheld the full model over misuse concerns.|Released 2019.
How many parameters did GPT-3 have and what emerged at that scale?|175B parameters (300B tokens) enabled strong few-shot and zero-shot abilities without fine-tuning.|Released 2020. Base GPT-3 still could not follow instructions.
What is the technical relationship between ChatGPT and GPT-3?|ChatGPT is GPT-3.5 (a GPT-3 variant) fine-tuned on instruction data via InstructGPT — not a new base model.|Released late 2022. Fine-tuning — not larger scale — enabled chat and instruction-following.
What were the approximate parameter counts across GPT generations?|117M (GPT-1) → 1.5B (GPT-2) → 175B (GPT-3), roughly 10x or more each generation.
What do you gain by starting from a pretrained model instead of training from scratch?|You skip the ~$4.6M compute bill and get a model that already understands language, grammar, facts, and reasoning.
What do you lose by starting from a pretrained model instead of training from scratch?|You inherit the pretraining data's biases and are stuck with the architecture — you can't reshape the fundamental "brain".
Why is fine-tuning faster and cheaper than training from scratch?|The pretrained model already learned universal language patterns, so fine-tuning only adjusts later layers on a small dataset.|Training from scratch learns everything from random initialization across billions of parameters.
What did the Transformer paper replace to achieve its breakthrough?|It replaced recurrence (sequential token processing from RNNs) entirely with self-attention.|The paper is titled "Attention is All You Need".
Why couldn't RNNs train efficiently on long sequences?|Two problems: no parallelization (tokens processed one at a time) and vanishing gradients (information degraded across sequential steps).
What two properties did self-attention give that recurrence could not?|Full parallel processing across the sequence and direct connections between any two tokens regardless of distance.
What happens if a model has no self-attention mechanism?|Each token is processed in isolation with no way to query or aggregate information from other tokens — like a bag-of-words model.
Why does "The spider that the cat that the dog chased ate was fat" become incomprehensible without self-attention?|The model cannot resolve long-range subject-verb dependencies because it has no mechanism to connect distant tokens.
Without self-attention, what happens to a token's representation of non-local context?|It is lost — each token's representation contains only its own embedding with no information from other tokens.
Can coherent text exist without genuine understanding?|Yes — LLMs prove coherence and understanding are separable. They produce grammatically correct text without genuine grounding.|Understanding requires world models and beliefs about truth, not just statistical pattern matching.
What distinguishes coherent text from genuine understanding?|Coherent text follows statistical word-sequence patterns. Understanding requires grounding in meaning and world models.
Why do LLMs hallucinate despite generating coherent text?|They model word-sequence statistics only with no grounding in meaning, world models, or beliefs about truth.
What does genuine understanding require beyond statistical pattern matching?|Grounding in meaning, maintaining world models, and forming beliefs about truth.
