What role does traditional web development assign to the database?|It treats the database as dumb storage with all intelligence delegated to application classes.|Frameworks like Rails, Django, and Laravel all follow this storage-first pattern.
What must happen when non-app code (e.g., shell scripts) needs to access data in traditional MVC?|It must route through application classes since no validation or rules exist at the database level.|Nothing else may access the DB directly without risking rule violations.
What gets rewritten each time Sivers switches programming languages?|Every language rewrite requires reimplementing all the data logic that lived in application models.|Six rewrites across 15+ years: Perl, PHP, Rails, PHP, Ruby, JS.
What makes the traditional database-plus-application-code system coupled?|Intelligence is split across two systems that cannot function independently of each other.|The DB is dumb; the app holds the rules — neither works alone.
How does Rich Hickey define "complex" in his Simplicity Matters talk?|Complex means many things tied together (interwoven) and is an objective property, not a subjective judgment.|Traditional MVC is complex because DB and app code are interwoven.
How does Rich Hickey define "simple" in contrast to complex?|Simple means a single fold or one ingredient — the direct opposite of complex.|A self-contained database with all data logic inside is simple.
Why is an ORM an example of something "easy but complex"?|It is easy to install and convenient to use yet it ties many concepts together in a way that is objectively complex.|Easy and simple operate on different axes — they are unrelated.
Why does Sivers consider OOP classes an unnecessary complication for data logic?|Because information (a hash/map of strings) is inherently simple and hiding it behind an object layer adds complexity without benefit.|JSON APIs return the same hash-of-strings format — even more reason to skip abstractions.
What does a CHECK constraint on a PostgreSQL table guarantee?|Every row must satisfy the boolean expression enforced by the database, not the application.|Example: `check (length(name) > 0)` prevents empty names at the DB level.
What happens when a row is deleted with ON DELETE CASCADE on a foreign key?|The database automatically deletes all referencing rows in the child table without any application code.|Deleting a person deletes all their tags automatically.
What does the trigger in Sivers's example do before insert or update?|It trims extra whitespace from the name and lowercases the email before the row is written.|Decouples data hygiene from application logic entirely.
How does the get_person function handle the case where an email already exists?|It selects and returns the existing row atomically instead of inserting a duplicate.|The function starts with `if not exists (select 1 from people where email = a_email)`.
What does json_agg inside a PostgreSQL view accomplish?|It aggregates multiple child rows into a JSON array nested inside the parent row.|Eliminates all app-level JSON construction and serialization code.
What is the return type of Sivers's API functions?|A single JSON value via `out js json`, so the app calls `select js from function_name()` to retrieve it.|No row mapping, no DTO conversion, no serializer configuration needed.
How does the outside application code call a PostgreSQL API function?|It runs `select js from function_name($1, $2)` via DB.exec_params and extracts the JSON result.|The same calling pattern works for REST APIs and client libraries.
How thin is the application code in Sivers's architecture?|About 20 lines: a DB connection, a helper that invokes PG functions, and route mappings.|The Sinatra REST API and the Ruby client library are both ~15-20 lines.
What is the only code that changes when switching to a new programming language?|The thin pass-through layer that maps external requests to PG API function calls.|All data logic, validation, and JSON shaping stays untouched in the database.
